parent_asset_id,resource_id,source_file,source_extension,source_size_bytes,source_sha256,object_type,object_name,row_count,column_count,output_path,extraction_state,failure_reason
WEB-0048,WEB-0048-R01-E019,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/GDP at market prices, current US$, millions, seas. adj..xlsx",.xlsx,150764,75fce33024650b99c29c48396eb981816208131a6da88463231b762458288f19,xlsx_sheet,quarterly,122,104,03_提取表格/WEB-0048/WEB-0048-R01-E019/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E020,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/GDP Deflator at Market Prices, LCU.xlsx",.xlsx,89489,c5f32a514b3a3c7c91ccfc8f11c93e856b4c6507d4f949c557f853f507c003d5,xlsx_sheet,quarterly,122,85,03_提取表格/WEB-0048/WEB-0048-R01-E020/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E021,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Imports Merchandise, Customs, constant 2010 US$, millions, not seas. adj..xlsx",.xlsx,245910,91bf1920608a86e4d5e4272b296b6c10afab21d66795f792dd77cf84a99972ae,xlsx_sheet,annual,32,53,03_提取表格/WEB-0048/WEB-0048-R01-E021/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E021,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Imports Merchandise, Customs, constant 2010 US$, millions, not seas. adj..xlsx",.xlsx,245910,91bf1920608a86e4d5e4272b296b6c10afab21d66795f792dd77cf84a99972ae,xlsx_sheet,monthly,362,53,03_提取表格/WEB-0048/WEB-0048-R01-E021/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E021,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Imports Merchandise, Customs, constant 2010 US$, millions, not seas. adj..xlsx",.xlsx,245910,91bf1920608a86e4d5e4272b296b6c10afab21d66795f792dd77cf84a99972ae,xlsx_sheet,quarterly,122,53,03_提取表格/WEB-0048/WEB-0048-R01-E021/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E022,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Imports Merchandise, Customs, constant 2010 US$, millions, seas. adj..xlsx",.xlsx,261173,329ad80529aef6dee13865d355ab2acb893ba7891f909a1abcaa97492163c5fc,xlsx_sheet,annual,32,56,03_提取表格/WEB-0048/WEB-0048-R01-E022/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E022,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Imports Merchandise, Customs, constant 2010 US$, millions, seas. adj..xlsx",.xlsx,261173,329ad80529aef6dee13865d355ab2acb893ba7891f909a1abcaa97492163c5fc,xlsx_sheet,monthly,362,56,03_提取表格/WEB-0048/WEB-0048-R01-E022/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E022,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Imports Merchandise, Customs, constant 2010 US$, millions, seas. adj..xlsx",.xlsx,261173,329ad80529aef6dee13865d355ab2acb893ba7891f909a1abcaa97492163c5fc,xlsx_sheet,quarterly,122,56,03_提取表格/WEB-0048/WEB-0048-R01-E022/quarterly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E023,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Imports Merchandise, Customs, current US$, millions, not seas. adj..xlsx",.xlsx,543934,78c6355ec2976eb7b46791098e485ad53dcf920d2f0359e09f5bba07341c070c,xlsx_sheet,annual,32,119,03_提取表格/WEB-0048/WEB-0048-R01-E023/annual.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E023,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Imports Merchandise, Customs, current US$, millions, not seas. adj..xlsx",.xlsx,543934,78c6355ec2976eb7b46791098e485ad53dcf920d2f0359e09f5bba07341c070c,xlsx_sheet,monthly,362,119,03_提取表格/WEB-0048/WEB-0048-R01-E023/monthly.csv,EXTRACTED,
WEB-0048,WEB-0048-R01-E023,"01_新增原件/WEB-0048/expanded/WEB-0048-R01/Imports Merchandise, Customs, current US$, millions, not seas. adj..xlsx",.xlsx,543934,78c6355ec2976eb7b46791098e485ad53dcf920d2f0359e09f5bba07341c070c,xlsx_sheet,quarterly,122,119,03_提取表格/WEB-0048/WEB-0048-R01-E023/quarterly.csv,EXTRACTED,
